Price,Close,High,Low,Open,Volume
Ticker,IRR=X,IRR=X,IRR=X,IRR=X,IRR=X
Date,,,,,
2004-10-04,8698.5,8698.5,8698.5,8698.5,0
2004-10-05,8698.099609375,8698.099609375,8698.099609375,8698.099609375,0
2004-10-06,8693.099609375,8693.099609375,8670.2001953125,8670.2001953125,0
2004-10-07,8704.099609375,8704.099609375,8704.099609375,8704.099609375,0
2004-10-08,8703.2001953125,8703.2001953125,8703.2001953125,8703.2001953125,0
2004-10-11,8698.7998046875,8698.7998046875,8698.7998046875,8698.7998046875,0
2004-10-12,8693.2001953125,8694.2001953125,8693.2001953125,8694.2001953125,0
2004-10-13,8702.5,8702.5,8693.2001953125,8693.2001953125,0
2004-10-14,8705.599609375,8705.599609375,8705.599609375,8705.599609375,0
2004-10-15,8705.099609375,8705.099609375,8705.099609375,8705.099609375,0
2004-10-18,8705.7001953125,8705.7001953125,8705.7001953125,8705.7001953125,0
2004-10-19,8704.7001953125,8704.7001953125,8704.7001953125,8704.7001953125,0
2004-10-20,8703.0,8703.0,8703.0,8703.0,0
2004-10-21,8706.2998046875,8706.2998046875,8706.2998046875,8706.2998046875,0
2004-10-22,8715.099609375,8715.099609375,8705.2998046875,8705.2998046875,0
2004-10-25,8705.900390625,8705.900390625,8705.900390625,8705.900390625,0
2004-10-26,8697.599609375,8697.599609375,8695.900390625,8695.900390625,0
2004-10-27,8699.0,8699.0,8699.0,8699.0,0
2004-10-28,8768.0,8769.0,8764.0,8765.0,0
2004-10-29,8697.900390625,8715.2001953125,8659.7998046875,8715.2001953125,0
2004-11-01,8767.0,8768.0,8674.7001953125,8674.7001953125,0
2004-11-02,8768.0,8770.0,8712.7998046875,8714.7998046875,0
2004-11-03,8778.0,8779.0,8718.599609375,8718.599609375,0
2004-11-04,8780.0,8782.0,8711.099609375,8711.099609375,0
2004-11-05,8778.0,8780.0,8724.900390625,8724.900390625,0
2004-11-08,8778.0,8723.099609375,8723.099609375,8723.099609375,0
2004-11-09,8777.0,8778.0,8719.900390625,8719.900390625,0
2004-11-10,8789.0,8789.0,8720.7998046875,8720.7998046875,0
2004-11-11,8788.0,8729.5,8729.5,8729.5,0
2004-11-12,8788.0,8790.0,8729.7001953125,8729.7001953125,0
2004-11-15,8729.0,8729.0,8729.0,8729.0,0
2004-11-16,8790.0,8790.0,8714.099609375,8732.7001953125,0
2004-11-17,8788.0,8790.0,8736.2001953125,8736.2001953125,0
2004-11-18,8792.0,8791.0,8726.900390625,8726.900390625,0
2004-11-19,8790.0,8790.0,8739.599609375,8739.599609375,0
2004-11-22,8790.0,8791.0,8726.599609375,8726.599609375,0
2004-11-23,8794.0,8794.0,8738.099609375,8738.099609375,0
2004-11-24,8798.0,8798.0,8731.7998046875,8731.7998046875,0
2004-11-25,8734.099609375,8734.099609375,8715.2998046875,8715.2998046875,0
2004-11-26,8793.0,8794.0,8687.7998046875,8687.7998046875,0
2004-11-29,8794.0,8793.0,8728.7001953125,8728.7001953125,0
2004-11-30,8789.0,8741.099609375,8726.0,8726.0,0
2004-12-01,8786.0,8787.0,8729.2001953125,8729.2001953125,0
2004-12-02,8790.0,8729.2998046875,8729.2998046875,8729.2998046875,0
2004-12-03,8784.0,8786.0,8731.099609375,8731.099609375,0
2004-12-06,8782.0,8782.0,8632.7001953125,8632.7001953125,0
2004-12-07,8790.0,8729.5,8729.5,8729.5,0
2004-12-08,8788.0,8788.0,8731.2001953125,8731.2001953125,0
2004-12-09,8792.0,8793.0,8727.099609375,8758.7998046875,0
2004-12-10,8787.0,8787.0,8728.7001953125,8728.7001953125,0
2004-12-13,8788.0,8788.0,8734.599609375,8734.599609375,0
2004-12-14,8795.0,8793.0,8739.2001953125,8739.2001953125,0
2004-12-15,8797.0,8796.0,8736.7998046875,8743.5,0
2004-12-16,8797.0,8798.0,8725.7001953125,8725.7001953125,0
2004-12-17,8798.0,8800.0,8780.400390625,8796.0,0
2004-12-20,8801.0,8801.0,8742.5,8742.5,0
2004-12-21,8808.0,8741.7001953125,8741.7001953125,8741.7001953125,0
2004-12-22,8800.0,8801.0,8732.400390625,8773.099609375,0
2004-12-23,8804.0,8804.0,8742.599609375,8742.599609375,0
2004-12-24,8801.0,8802.0,8800.0,8801.0,0
2004-12-27,8800.0,8800.0,8738.2001953125,8738.2001953125,0
2004-12-28,8798.0,8798.0,8731.7998046875,8731.7998046875,0
2004-12-29,8795.0,8795.0,8729.099609375,8729.099609375,0
2004-12-30,8797.0,8800.0,8737.400390625,8737.400390625,0
2004-12-31,8724.0,8724.0,8716.900390625,8716.900390625,0
2005-01-03,8800.0,8805.7001953125,8738.0,8805.7001953125,0
2005-01-04,8805.0,8805.0,8747.099609375,8762.2998046875,0
2005-01-05,8800.0,8811.0,8747.2998046875,8811.0,0
2005-01-06,8800.0,8802.0,8756.5,8756.5,0
2005-01-07,8808.0,8810.0,8748.5,8748.5,0
2005-01-10,8810.0,8810.0,8455.400390625,8455.400390625,0
2005-01-11,8815.0,8814.0,8453.5,8453.5,0
2005-01-12,8830.0,8444.7001953125,8444.7001953125,8444.7001953125,0
2005-01-13,8830.0,8830.0,8464.900390625,8464.900390625,0
2005-01-14,8780.0,8836.0,8455.2998046875,8543.0,0
2005-01-17,8838.0,8458.900390625,8458.2998046875,8458.2998046875,0
2005-01-18,8839.0,8841.0,8458.5,8458.5,0
2005-01-19,8845.0,8846.0,8459.599609375,8469.2001953125,0
2005-01-20,8845.0,8846.0,8464.900390625,8464.900390625,0
2005-01-21,8844.0,8845.0,8474.599609375,8474.599609375,0
2005-01-24,8841.0,8841.0,8474.400390625,8474.400390625,0
2005-01-25,8848.0,8848.0,8468.900390625,8468.900390625,0
2005-01-26,8851.0,8850.0,8465.2001953125,8512.2998046875,0
2005-01-27,8845.0,8845.0,8466.900390625,8466.900390625,0
2005-01-28,8845.0,8846.0,8467.7998046875,8479.5,0
2005-01-31,8851.0,8851.0,8469.0,8474.2998046875,0
2005-02-01,8855.0,8855.0,8466.7001953125,8466.7001953125,0
2005-02-02,8855.0,8855.0,8436.599609375,8436.599609375,0
2005-02-03,8850.0,8850.0,8473.2998046875,8473.2998046875,0
2005-02-04,8855.0,8851.0,8465.7001953125,8502.7001953125,0
2005-02-07,8856.0,8465.7998046875,8465.7998046875,8465.7998046875,0
2005-02-08,8860.0,8860.0,8465.2001953125,8525.099609375,0
2005-02-09,8858.0,8860.0,8448.0,8448.0,0
2005-02-10,8858.0,8860.0,8474.0,8474.0,0
2005-02-11,8860.0,8861.0,8470.2998046875,8470.2998046875,0
2005-02-14,8473.2001953125,8473.2001953125,8473.2001953125,8473.2001953125,0
2005-02-15,8855.0,8855.0,8469.2998046875,8469.2998046875,0
2005-02-16,8855.0,8856.0,8437.099609375,8437.099609375,0
2005-02-17,8850.0,8852.0,8468.7001953125,8468.7001953125,0
2005-02-18,8852.0,8853.0,8472.900390625,8472.900390625,0
2005-02-21,8853.0,8470.7998046875,8470.7998046875,8470.7998046875,0
2005-02-22,8855.0,8855.0,8474.099609375,8474.099609375,0
2005-02-23,8852.0,8852.0,8481.7001953125,8481.7001953125,0
2005-02-24,8850.0,8850.0,8480.400390625,8480.400390625,0
