Price,Close,High,Low,Open,Volume
Ticker,TOP=X,TOP=X,TOP=X,TOP=X,TOP=X
Date,,,,,
2025-07-18,2.380199909210205,2.380199909210205,2.3689000606536865,2.3689000606536865,0
